Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
América do Sul;4;Peru;34;Acre;1;Aéreo;1;2023;Novembro;11;0
América do Sul;4;Peru;34;Acre;1;Aéreo;1;2023;Novembro;11;0
Ásia;5;Outros países;56;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;12
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;10
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;3
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;7
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;3
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;3
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;1
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;5
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;12
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;12
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;71
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;11
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;564
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;474
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;520
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;536
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;387
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;255
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;478
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;377
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;481
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;659
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0
